first_name_clean,gender,count
,2,1
a,1,1
aadam,1,1
aadel,1,1
aadhira,2,2
aadil,1,3
aahil,1,2
aakash,1,1
aaleyah,2,1
aalia,2,1
aaliya,2,4
aaliyah,2,392
aalya,2,3
aalyah,2,7
aamir,1,1
aanor,2,1
aaran,1,1
aarav,1,1
aaricia,2,1
aarish,1,1
aaron,1,1690
aaron,2,1
aarone,1,1
aaronn,1,3
aaroun,1,1
aarron,1,1
aarush,1,6
aarushan,1,1
aarya,2,1
aarôn,1,1
aathira,2,3
aathiran,1,2
aava,2,1
aaya,2,1
aayan,1,3
aaziz,1,1
ab,1,2
ab-del,1,2
aba,1,1
ababacar,1,1
abakar,1,1
aban,1,1
abane,1,1
abarna,2,1
abas,1,1
abass,1,7
abasse,1,1
abassia,2,1
abba,1,1
abbas,1,7
abbass,1,1
abbes,1,8
abbie,2,16
abbigaelle,2,1
abbigaëlle,2,1
abby,2,345
abby-gaelle,2,1
abby-gaëlle,2,4
abbygael,2,1
abbygaelle,2,23
abbygail,2,1
abbygaël,2,1
abbygaëlle,2,19
abbygaïl,2,1
abd,1,133
abd'allah,1,1
abd-allah,1,5
abd-ar-rahman,1,1
abd-el,1,34
abd-el-kader,1,1
abd-el-krim,1,1
abd-el-rahman,1,1
abd-rahim,1,1
abd-rahman,1,1
abd-samad,1,1
abdala,1,1
abdalah,1,4
abdalaye,1,1
abdalha,1,1
abdalla,1,1
abdallah,1,676
abdalrahman,1,1
abdarahim,1,1
abdarahman,1,1
abdarahmane,1,1
abdarrahman,1,2
abdassamad,1,1
abde,1,2
abdel,1,547
abdel-akim,1,1
abdel-ali,1,1
abdel-aziz,1,3
abdel-djalil,1,1
abdel-ghani,1,1
abdel-hadi,1,1
abdel-hafid,1,1
abdel-hak,1,1
abdel-hakim,1,12
abdel-halim,1,3
abdel-hamid,1,1
abdel-ilah,1,1
abdel-illah,1,1
abdel-jalil,1,2
abdel-kader,1,6
abdel-karim,1,7
abdel-krim,1,3
abdel-latif,1,1
abdel-madjid,1,1
abdel-magid,1,1
abdel-majid,1,1
abdel-malek,1,7
abdel-malik,1,21
abdel-moumen,1,1
abdel-nacer,1,1
abdel-nasser,1,2
abdel-nour,1,1
abdel-rahim,1,2
abdel-rahman,1,6
abdel-rahmane,1,2
abdel-rahmen,1,1
abdel-rani,1,1
abdel-raouf,1,1
abdel-salem,1,1
abdel-samad,1,1
abdel-wahab,1,1
abdel-waheb,1,1
abdel-wahid,1,1
abdel-wakil,1,1
abdela,1,1
abdelaali,1,1
abdeladim,1,1
abdelafid,1,1
abdelah,1,2
abdelakim,1,6
abdelali,1,6
abdelalim,1,1
abdelamid,1,1
abdelatif,1,16
abdelaziz,1,224
abdelazize,1,1
abdelazziz,1,3
abdelbaki,1,1
abdelbari,1,1
abdelbaset,1,1
abdelbasset,1,1
abdeldjalil,1,2
abdeldjallil,1,1
abdelfatah,1,1
abdelfattah,1,1
abdelfetah,1,1
abdelfettah,1,1
abdelghafour,1,1
abdelghani,1,18
abdelha,1,1
abdelhadi,1,6
abdelhafed,1,1
abdelhafid,1,62
abdelhafide,1,1
abdelhak,1,44
abdelhake,1,1
abdelhakim,1,118
abdelhakime,1,1
abdelhali,1,1
abdelhalim,1,27
abdelhalime,1,1
abdelhamed,1,1
abdelhamid,1,79
abdelhamide,1,1
abdelhaq,1,1
abdelhatif,1,1
abdelhay,1,1
abdelhaziz,1,1
abdelhedi,1,1
abdelhouab,1,1
abdelilah,1,4
abdelillah,1,2
abdeljabar,1,1
abdeljalil,1,16
abdeljalile,1,1
abdeljallil,1,1
abdeljawad,1,1
abdelkabir,1,1
abdelkader,1,1160
abdelkamel,1,1
abdelkarim,1,111
abdelkarime,1,1
abdelkebir,1,1
abdelkerim,1,1
abdelkhader,1,1
abdelkhalek,1,1
abdelkrim,1,244
abdelkrime,1,1
abdella,1,2
abdellah,1,289
abdellali,1,1
abdellatif,1,25
abdellaziz,1,3
abdelmadjid,1,14
abdelmagid,1,4
abdelmagide,1,1
abdelmajid,1,43
abdelmajide,1,1
abdelmalek,1,40
abdelmalik,1,64
abdelmatine,1,1
abdelmoujib,1,1
abdelmoula,1,1
abdelmoumen,1,1
abdelmoumene,1,1
abdelmounaim,1,1
abdelnacer,1,2
abdelnasser,1,3
abdelnor,1,1
abdelnour,1,5
abdeloihab,1,1
abdelouab,1,1
abdelouahab,1,7
abdelouahad,1,1
abdelouaheb,1,1
abdelouahed,1,1
abdelouahid,1,1
abdelouhab,1,3
abdelrahim,1,6
abdelrahman,1,36
abdelrahmane,1,22
abdelrahmen,1,2
abdelrahmene,1,1
abdelrahni,1,1
abdelraman,1,1
abdelramane,1,1
abdelrani,1,6
abdelraouf,1,1
abdelrazak,1,1
abdelrazek,1,1
abdelrezak,1,1
abdelrhaman,1,1
abdelrhamane,1,1
abdelrhani,1,1
abdelsalam,1,1
abdelsalem,1,1
abdelsamad,1,2
abdelslam,1,1
abdelssamad,1,1
abdeltif,1,1
abdelwadoud,1,1
abdelwahab,1,6
abdelwahad,1,1
abdelwaheb,1,1
abdelwahed,1,1
abdelwahid,1,1
abdelwakil,1,1
abdenabi,1,1
abdenacer,1,1
abdenasser,1,1
abdenbi,1,3
abdennasser,1,1
abdennour,1,7
abdenor,1,4
abdenour,1,14
abder,1,1
abderahim,1,6
abderahime,1,1
abderahman,1,31
abderahmane,1,52
abderahmen,1,1
abderahmene,1,1
abderaman,1,1
abderamane,1,1
abderaouf,1,1
abderazak,1,1
abderazzak,1,1
abderemane,1,4
abderezak,1,1
abderhaman,1,1
abderhamane,1,2
abderrahim,1,18
abderrahime,1,1
abderrahman,1,57
abderrahmane,1,189
abderrahmen,1,2
abderrahmene,1,1
abderramane,1,1
abderraouf,1,1
abderrazak,1,3
abderrezak,1,2
abderrhamane,1,1
abderzak,1,1
abdesalam,1,1
abdesalem,1,1
abdesamad,1,1
abdeslam,1,8
abdeslame,1,1
abdeslem,1,1
abdessalam,1,1
abdessalem,1,1
abdessamad,1,29
abdessamade,1,1
abdessamed,1,1
abdessatar,1,1
abdesselam,1,1
abdesselem,1,2
abdesslam,1,1
abdesslem,1,1
abdi,1,1
abdias,1,1
abdil,1,1
abdillah,1,8
abdillahi,1,4
abdirahman,1,1
abdlaziz,1,1
abdnour,1,1
abdo,1,1
abdollah,1,1
abdon,1,100
abdon,2,12
abdonie,2,2
abdonise,2,2
abdool,1,1
abdou,1,118
abdou-aziz,1,1
abdou-karim,1,1
abdou-rahman,1,1
abdou-rahmane,1,1
abdou-salam,1,1
abdouallah,1,1
abdoukarim,1,1
abdoul,1,201
abdoul-anziz,1,9
abdoul-aziz,1,10
abdoul-hakim,1,1
abdoul-halim,1,1
abdoul-hamid,1,1
abdoul-kader,1,2
abdoul-karim,1,15
abdoul-madjid,1,2
abdoul-malik,1,1
abdoul-rahim,1,1
abdoul-rahman,1,1
abdoul-salam,1,1
abdoul-wahab,1,1
abdoula,1,1
abdoulah,1,2
abdoulahi,1,1
abdoulai,1,1
abdoulatif,1,1
abdoulatuf,1,1
abdoulay,1,3
abdoulaye,1,366
abdoulaziz,1,1
abdoulhakim,1,1
abdoulhalim,1,1
abdoulhamid,1,1
abdoulkader,1,1
abdoulkarim,1,3
abdoulla,1,1
abdoullah,1,66
abdoullahi,1,1
abdoullaye,1,2
abdoulmalik,1,1
abdoulwahab,1,1
abdourahamane,1,8
abdourahim,1,1
abdourahman,1,1
abdourahmane,1,26
abdouramane,1,1
abdouraouf,1,1
abdourazak,1,1
abdouroihamane,1,9
abdourrahman,1,1
abdourrahmane,1,1
abdousalam,1,1
abdoussamad,1,1
abdrahamane,1,1
abdrahim,1,1
abdrahman,1,1
abdrahmane,1,1
abdramane,1,13
abdsamad,1,2
abdu,1,1
abdul,1,26
abdul-aziz,1,1
abdul-kadir,1,1
abdul-karim,1,1
abdul-kerim,1,1
abdul-malik,1,1
abdul-rahman,1,1
abdul-samet,1,1
abdulah,1,1
abdulaziz,1,1
abdulbaki,1,1
abdulhamid,1,1
abdulkadir,1,5
abdulkerim,1,1
abdulla,1,1
abdullah,1,167
abdullatif,1,1
abdulmalik,1,1
abdulrahman,1,1
abdulsamed,1,1
abdulsamet,1,1
abdurahman,1,2
abdurrahim,1,1
abdurrahman,1,3
abdussamed,1,1
abed,1,19
abeer,2,1
abel,1,3114
abel,2,19
abelard,1,2
abelardo,1,1
abele,2,1
abelia,2,2
abelina,2,1
abeline,2,3
abelino,1,1
abella,2,2
abelle,2,7
abert,1,1
abes,1,1
abess,1,1
abi,1,1
abi,2,2
abib,1,1
abiba,2,4
abibata,2,2
abibatou,2,1
abibou,1,1
abid,1,1
abida,2,1
abidin,1,1
abidine,1,1
abie,2,1
abiel,1,1
abigael,1,1
abigael,2,139
abigaelle,2,129
abigahel,2,1
abigail,2,177
abigaël,1,1
abigaël,2,136
abigaëlle,2,205
abigaïl,2,55
abiha,2,1
abil,1,1
abilash,1,1
abilio,1,8
abimael,1,1
abina,2,1
abinash,1,3
abinaya,2,14
abinesh,1,3
abiola,1,1
abir,1,1
abir,2,27
abira,2,2
abiram,1,2
abirami,2,1
abiramy,2,1
abire,2,1
abisan,1,2
abisha,2,11
abishan,1,8
abishek,1,2
abla,2,13
ablaye,1,1
abner,1,1
abou,1,82
abou,2,1
abou-bakar,1,1
abou-baker,1,1
abou-bakr,1,7
abou-sofiane,1,1
aboubacar,1,209
aboubacar-sidiki,1,1
aboubacari,1,1
aboubacary,1,1
aboubacri,1,1
aboubacry,1,2
aboubaka,1,1
aboubakar,1,149
aboubakari,1,3
aboubakary,1,7
aboubaker,1,4
aboubakr,1,12
aboubakre,1,2
aboubakri,1,3
aboubakry,1,1
aboudou,1,1
aboudoulaye,1,1
aboudramane,1,1
aboulay,1,1
aboulaye,1,6
abraham,1,217
abrahim,1,1
abram,1,1
abrar,1,1
abrar,2,2
abriel,1,8
abril,2,2
absa,2,2
absatou,2,1
abu,1,2
abu-bakr,1,1
abubakar,1,1
abubakr,1,1
aby,2,81
aby-gaelle,2,1
aby-gaëlle,2,1
abygael,2,8
abygaelle,2,50
abygail,2,1
abygaël,2,9
abygaëlle,2,55
abygaïl,2,1
abèle,2,1
abélia,2,1
acacia,2,5
acacio,1,1
ace,1,1
acelia,2,1
acelya,2,15
acene,1,1
achata,2,1
acher,1,2
acheraf,1,1
achida,2,1
achil,1,3
achile,1,1
achille,1,1681
achille,2,21
achilles,1,9
achillia,2,1
achim,1,1
achley,2,1
achmi,1,1
achot,1,1
achouak,2,1
achour,1,9
achoura,2,1
achraf,1,220
achraf,2,1
achrafe,1,1
achref,1,1
achta,2,1
achwak,2,1
achyl,1,1
acia,2,2
acil,1,1
acil,2,2
acile,2,1
acya,2,1
acyl,1,1
acyl,2,1
ada,1,1
ada,2,77
adaam,1,1
adael,1,1
adal,1,1
adalbert,1,16
adalgisa,2,1
adalia,2,1
adalina,2,2
adalind,2,1
adaline,2,37
adalyne,2,1
adalynn,2,1
adam,1,2560
adam,2,3
adam's,1,2
adam-mohamed,1,1
adama,1,295
adama,2,120
adame,1,182
adame,2,3
adamm,1,1
adamo,1,2
adams,1,16
adan,1,111
adana,2,1
adane,1,2
adanna,2,1
adao,1,1
adar,1,11
adassa,2,1
adaya,2,1
adda,1,2
adda,2,2
addam,1,1
addel,1,1
addi,1,1
addil,1,1
addison,1,1
addison,2,2
addolorata,2,1
addy,1,1
addyson,2,1
adea,2,1
adeel,1,2
adel,1,1023
adel,2,1
adela,2,19
adelaida,2,1
adelaide,1,43
adelaide,2,1134
adelais,2,1
adelaïde,2,17
adelbert,1,8
adele,2,158
adeleine,2,1
adelheid,2,8
adelia,2,26
adelice,2,1
adelie,2,142
adelin,1,12
adelina,2,98
adeline,2,3590
adelino,1,3
adelio,1,1
adelisa,2,1
adelise,2,1
adelita,2,1
adella,2,1
adelle,2,1
adelma,2,1
adelmo,1,1
adelphe,1,2
adelphine,2,15
adelson,1,7
adelya,2,2
adelyne,2,7
adelys,2,1
adem,1,984
adema,2,1
ademar,1,1
ademe,1,3
aden,1,107
aden,2,1
adena,2,1
adenise,2,1
adenn,1,1
adenora,2,1
adeodat,1,1
aderito,1,5
adham,1,13
adhan,1,4
adhane,1,1
adhem,1,1
adhemar,1,4
adhen,1,2
adhira,2,3
adhémar,1,2
adi,1,1
adi,2,1
adia,2,3
adiana,2,1
adiara,2,1
adiaratou,2,1
adib,1,29
adiba,2,1
adidi,2,1
adidja,2,2
adiel,1,1
adija,2,1
adil,1,708
adila,2,1
adile,1,9
adile,2,1
adilia,2,1
adilio,1,1
adille,1,1
adilson,1,1
adim,1,1
adin,1,2
adina,2,3
adinane,1,1
adine,2,2
adis,1,2
adisa,2,1
adison,2,1
adissa,2,1
adisson,2,1
adithya,1,1
aditi,2,1
aditya,1,2
adixia,2,10
adiza,2,2
adja,2,67
adjara,2,3
adjaratou,2,3
adji,1,1
adji,2,1
adjia,2,3
adjila,2,4
adjira,2,1
adjmal,1,1
adjo,2,1
adjoa,2,1
adjoua,2,1
adlan,1,1
adlane,1,5
adlen,1,1
adlene,1,1
adler,1,1
adley,1,1
adli,1,1
adline,2,2
adlyne,2,1
adlène,1,1
admir,1,2
adna,2,2
adnan,1,45
adnane,1,77
adnen,1,1
adnene,1,1
adolf,1,4
adolfo,1,8
adolie,2,2
adoline,2,1
adolph,1,2
adolpha,2,1
adolphe,1,1595
adolphe,2,10
adolphine,2,211
adon,1,1
adonai,1,2
adonai,2,3
adonay,1,1
adonay,2,2
adonaï,1,3
adonaï,2,1
adonia,2,1
adonie,2,1
